question,solution,grade,math_topic,standard,substandard
"Haley collected 9 cans for recycling. If she put 7 cans in one bag, what's the difference between the number of recycling cans that Haley collected and put in the bag?","To find the difference between the number of recycling cans that Haley collected and put in the bag, we first need to subtract the number of cans she put in the bag from the total number of cans she collected. 
Haley collected 9 cans and put 7 cans in the bag. 
9 - 7 = 2. 
The final answer is 2.",4,"1. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000,000","4.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers.","4.CE.1:
d) Estimate, represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000,000."
Kale mowed his lawn 8 times total during the spring. If he mowed it 5 times in the summer. What's the difference between the number of times on mowing in the spring and summer?,"To find the difference between the number of times Kale mowed his lawn in the spring and summer, we first need to identify the number of times he mowed his lawn in each season. 
Kale mowed his lawn 8 times in the spring and 5 times in the summer. 
To find the difference, we need to subtract the number of times he mowed his lawn in the summer from the number of times he mowed his lawn in the spring.
8 - 5 = 3
The final answer is 3.",4,"1. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000,000","4.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers.","4.CE.1:
d) Estimate, represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000,000."
"A group of 8 friends were dressing as pirates for Halloween. If each costume cost 5 dollars, how much did they spend?","To find the total amount the group of friends spent, we need to multiply the number of friends (8) by the cost of each costume ($5).
8 x 5 = 40
This means the group of friends spent $40 in total on their pirate costumes.
The final answer is 40.",4,"1. Single-step or multistep multiplication with whole numbers using a) a two-digit factor and a one-digit factor, b) a three-digit factor and a one-digit factor or c) a two-digit factor and a two-digit factor","4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 × 12 and the corresponding division facts.","4.CE.2:
g) Apply strategies (e.g., rounding, place value, properties of multiplication and/or addition) and algorithms, including the standard algorithm, to estimate and determine the product of two whole numbers when given:
    i) a two-digit factor and a one-digit factor;
    ii) a three-digit factor and a one-digit factor; or
    iii) a two-digit factor and a two-digit factor.
h) Estimate, represent, solve, and justify solutions to single-step and multistep contextual problems that involve multiplication with whole numbers."
"Kale was drawing on scrap paper. He could fit 5 drawings on each page. If he has 6 pages, how many drawings can he make?","Kale can fit 5 drawings on each page and he has 6 pages. 
To find how many drawings he can make, we have to multiply the number of drawings he can fit on each page (5) by the number of pages he has (6). 
5 x 6 = 30. 
The final answer is 30.",4,"1. Single-step or multistep multiplication with whole numbers using a) a two-digit factor and a one-digit factor, b) a three-digit factor and a one-digit factor or c) a two-digit factor and a two-digit factor","4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 × 12 and the corresponding division facts.","4.CE.2:
g) Apply strategies (e.g., rounding, place value, properties of multiplication and/or addition) and algorithms, including the standard algorithm, to estimate and determine the product of two whole numbers when given:
    i) a two-digit factor and a one-digit factor;
    ii) a three-digit factor and a one-digit factor; or
    iii) a two-digit factor and a two-digit factor.
h) Estimate, represent, solve, and justify solutions to single-step and multistep contextual problems that involve multiplication with whole numbers."
"Rachel bought 8 music albums online. If each album had 2 songs, how many songs did she buy total?","Rachel bought 8 music albums online and each album has 2 songs. 
To find the total number of songs she bought, we need to multiply the number of albums (8) by the number of songs in each album (2). 
8 x 2 = 16
This means Rachel bought 16 songs in total.
The final answer is 16.",4,"1. Single-step or multistep multiplication with whole numbers using a) a two-digit factor and a one-digit factor, b) a three-digit factor and a one-digit factor or c) a two-digit factor and a two-digit factor","4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 × 12 and the corresponding division facts.","4.CE.2:
g) Apply strategies (e.g., rounding, place value, properties of multiplication and/or addition) and algorithms, including the standard algorithm, to estimate and determine the product of two whole numbers when given:
    i) a two-digit factor and a one-digit factor;
    ii) a three-digit factor and a one-digit factor; or
    iii) a two-digit factor and a two-digit factor.
h) Estimate, represent, solve, and justify solutions to single-step and multistep contextual problems that involve multiplication with whole numbers."
For Bianca's birthday 5 of her friends each gave her 6 dollars. How much money did she get for her birthday?,"To find out how much money Bianca got for her birthday, we need to multiply the number of friends who gave her money (5) by the amount each friend gave her ($6).
5 x 6 = 30
This means that Bianca's 5 friends gave her a total of $30.
The final answer is 30.",4,"1. Single-step or multistep multiplication with whole numbers using a) a two-digit factor and a one-digit factor, b) a three-digit factor and a one-digit factor or c) a two-digit factor and a two-digit factor","4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 × 12 and the corresponding division facts.","4.CE.2:
g) Apply strategies (e.g., rounding, place value, properties of multiplication and/or addition) and algorithms, including the standard algorithm, to estimate and determine the product of two whole numbers when given:
    i) a two-digit factor and a one-digit factor;
    ii) a three-digit factor and a one-digit factor; or
    iii) a two-digit factor and a two-digit factor.
h) Estimate, represent, solve, and justify solutions to single-step and multistep contextual problems that involve multiplication with whole numbers."
"The roller coaster at the state fair costs 6 tickets per ride. If 8 friends were going to ride the roller coaster, how many tickets would they need?","To find the total number of tickets needed, we first need to determine how many tickets are needed for one friend to ride the roller coaster and then multiply that by the number of friends.
Since it costs 6 tickets per ride, one friend would need 6 tickets to ride the roller coaster.
To find the total number of tickets needed for 8 friends, we need to multiply the number of tickets per ride (6) by the number of friends (8).
6 x 8 = 48
The final answer is 48.",4,"1. Single-step or multistep multiplication with whole numbers using a) a two-digit factor and a one-digit factor, b) a three-digit factor and a one-digit factor or c) a two-digit factor and a two-digit factor","4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 × 12 and the corresponding division facts.","4.CE.2:
g) Apply strategies (e.g., rounding, place value, properties of multiplication and/or addition) and algorithms, including the standard algorithm, to estimate and determine the product of two whole numbers when given:
    i) a two-digit factor and a one-digit factor;
    ii) a three-digit factor and a one-digit factor; or
    iii) a two-digit factor and a two-digit factor.
h) Estimate, represent, solve, and justify solutions to single-step and multistep contextual problems that involve multiplication with whole numbers."
"Olivia was buying DVDs of her favorite TV series. Each season had 8 DVDs. If she bought 5 seasons, how many DVDs did she buy total?","To find the total number of DVDs Olivia bought, we need to multiply the number of seasons she bought (5) by the number of DVDs per season (8).
5 x 8 = 40
This means Olivia bought a total of 40 DVDs.
The final answer is 40.",4,"1. Single-step or multistep multiplication with whole numbers using a) a two-digit factor and a one-digit factor, b) a three-digit factor and a one-digit factor or c) a two-digit factor and a two-digit factor","4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 × 12 and the corresponding division facts.","4.CE.2:
g) Apply strategies (e.g., rounding, place value, properties of multiplication and/or addition) and algorithms, including the standard algorithm, to estimate and determine the product of two whole numbers when given:
    i) a two-digit factor and a one-digit factor;
    ii) a three-digit factor and a one-digit factor; or
    iii) a two-digit factor and a two-digit factor.
h) Estimate, represent, solve, and justify solutions to single-step and multistep contextual problems that involve multiplication with whole numbers."
Nancy was buying soap for her bathroom. She bought 6 packs with each pack having 5 bars. How many bars of soap did she buy?,"To find the total number of bars of soap Nancy bought, we need to multiply the number of packs she bought (6) by the number of bars in each pack (5).
6 x 5 = 30
This means Nancy bought 30 bars of soap in total.
The final answer is 30.",4,"1. Single-step or multistep multiplication with whole numbers using a) a two-digit factor and a one-digit factor, b) a three-digit factor and a one-digit factor or c) a two-digit factor and a two-digit factor","4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 × 12 and the corresponding division facts.","4.CE.2:
g) Apply strategies (e.g., rounding, place value, properties of multiplication and/or addition) and algorithms, including the standard algorithm, to estimate and determine the product of two whole numbers when given:
    i) a two-digit factor and a one-digit factor;
    ii) a three-digit factor and a one-digit factor; or
    iii) a two-digit factor and a two-digit factor.
h) Estimate, represent, solve, and justify solutions to single-step and multistep contextual problems that involve multiplication with whole numbers."
"Janet was practicing for a marathon. She practiced for 9 days, running 8 miles each day. How many miles did Janet run all together?","To find the total number of miles Janet ran, we need to multiply the number of days she practiced (9) by the number of miles she ran each day (8).
9 x 8 = 72
This means Janet ran a total of 72 miles.
The final answer is 72.",4,"1. Single-step or multistep multiplication with whole numbers using a) a two-digit factor and a one-digit factor, b) a three-digit factor and a one-digit factor or c) a two-digit factor and a two-digit factor","4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 × 12 and the corresponding division facts.","4.CE.2:
g) Apply strategies (e.g., rounding, place value, properties of multiplication and/or addition) and algorithms, including the standard algorithm, to estimate and determine the product of two whole numbers when given:
    i) a two-digit factor and a one-digit factor;
    ii) a three-digit factor and a one-digit factor; or
    iii) a two-digit factor and a two-digit factor.
h) Estimate, represent, solve, and justify solutions to single-step and multistep contextual problems that involve multiplication with whole numbers."
Tiffany was buying hand towels for her house. She bought 9 packs with each pack having 3 towels in it. How many towels did she buy?,"Tiffany bought 9 packs of towels, and each pack contains 3 towels. 
To find the total number of towels she bought, we need to multiply the number of packs by the number of towels in each pack. 
9 x 3 = 27. 
The final answer is 27.",4,"1. Single-step or multistep multiplication with whole numbers using a) a two-digit factor and a one-digit factor, b) a three-digit factor and a one-digit factor or c) a two-digit factor and a two-digit factor","4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 × 12 and the corresponding division facts.","4.CE.2:
g) Apply strategies (e.g., rounding, place value, properties of multiplication and/or addition) and algorithms, including the standard algorithm, to estimate and determine the product of two whole numbers when given:
    i) a two-digit factor and a one-digit factor;
    ii) a three-digit factor and a one-digit factor; or
    iii) a two-digit factor and a two-digit factor.
h) Estimate, represent, solve, and justify solutions to single-step and multistep contextual problems that involve multiplication with whole numbers."
Carol was helping her mom plant vegetables in the garden. Together they planted 6 rows of potatoes with 9 seeds in each row. How many potatoes did they plant total?,"To find the total number of potatoes they planted, we need to multiply the number of rows (6) by the number of seeds in each row (9). 
6 x 9 = 54
This means they planted 54 seeds, and since each seed will grow into a potato, they planted 54 potatoes in total.
The final answer is 54.",4,"1. Single-step or multistep multiplication with whole numbers using a) a two-digit factor and a one-digit factor, b) a three-digit factor and a one-digit factor or c) a two-digit factor and a two-digit factor","4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 × 12 and the corresponding division facts.","4.CE.2:
g) Apply strategies (e.g., rounding, place value, properties of multiplication and/or addition) and algorithms, including the standard algorithm, to estimate and determine the product of two whole numbers when given:
    i) a two-digit factor and a one-digit factor;
    ii) a three-digit factor and a one-digit factor; or
    iii) a two-digit factor and a two-digit factor.
h) Estimate, represent, solve, and justify solutions to single-step and multistep contextual problems that involve multiplication with whole numbers."
"Paige's dresser drawers could hold 2 pieces of clothing each. If she had 4 drawers, how many pieces of clothing could it hold?","To find out how many pieces of clothing Paige's dresser drawers could hold, we need to multiply the number of drawers by the number of pieces of clothing each drawer can hold.
Paige has 4 drawers and each drawer can hold 2 pieces of clothing. 
4 x 2 = 8
This means Paige's dresser drawers can hold 8 pieces of clothing in total.
The final answer is 8.",4,"1. Single-step or multistep multiplication with whole numbers using a) a two-digit factor and a one-digit factor, b) a three-digit factor and a one-digit factor or c) a two-digit factor and a two-digit factor","4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 × 12 and the corresponding division facts.","4.CE.2:
g) Apply strategies (e.g., rounding, place value, properties of multiplication and/or addition) and algorithms, including the standard algorithm, to estimate and determine the product of two whole numbers when given:
    i) a two-digit factor and a one-digit factor;
    ii) a three-digit factor and a one-digit factor; or
    iii) a two-digit factor and a two-digit factor.
h) Estimate, represent, solve, and justify solutions to single-step and multistep contextual problems that involve multiplication with whole numbers."
"Carol was sending out birthday invitations to her friends. If each package of invitations she bought had 9 invitations in it and she bought 5 packs, how many friends can she invite?","To find out how many friends Carol can invite, we need to determine the total number of invitations she has.
Carol bought 5 packs of invitations and each pack has 9 invitations in it.
To find the total number of invitations, we have to multiply the number of packs she bought (5) by the number of invitations in each pack (9).
5 x 9 = 45
This means Carol has 45 invitations in total.
Since each invitation is for one friend, Carol can invite 45 friends.
The final answer is 45.",4,"1. Single-step or multistep multiplication with whole numbers using a) a two-digit factor and a one-digit factor, b) a three-digit factor and a one-digit factor or c) a two-digit factor and a two-digit factor","4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 × 12 and the corresponding division facts.","4.CE.2:
g) Apply strategies (e.g., rounding, place value, properties of multiplication and/or addition) and algorithms, including the standard algorithm, to estimate and determine the product of two whole numbers when given:
    i) a two-digit factor and a one-digit factor;
    ii) a three-digit factor and a one-digit factor; or
    iii) a two-digit factor and a two-digit factor.
h) Estimate, represent, solve, and justify solutions to single-step and multistep contextual problems that involve multiplication with whole numbers."
"A contractor was buying wall outlets for a new house he was building. Each room needed 6 outlets. If the house has 7 rooms, how many outlets does he need total?","To find the total number of outlets the contractor needs, we first need to determine how many outlets are needed for each room and then multiply that by the number of rooms.
Each room needs 6 outlets and there are 7 rooms in the house.
To find the total number of outlets needed, we need to multiply the number of outlets per room (6) by the number of rooms (7).
6 x 7 = 42
The final answer is 42.",4,"1. Single-step or multistep multiplication with whole numbers using a) a two-digit factor and a one-digit factor, b) a three-digit factor and a one-digit factor or c) a two-digit factor and a two-digit factor","4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 × 12 and the corresponding division facts.","4.CE.2:
g) Apply strategies (e.g., rounding, place value, properties of multiplication and/or addition) and algorithms, including the standard algorithm, to estimate and determine the product of two whole numbers when given:
    i) a two-digit factor and a one-digit factor;
    ii) a three-digit factor and a one-digit factor; or
    iii) a two-digit factor and a two-digit factor.
h) Estimate, represent, solve, and justify solutions to single-step and multistep contextual problems that involve multiplication with whole numbers."
"A pallet of boxes weighed 267 kilograms. If there were 3 boxes on the pallet and each box weighed the same amount, how much did each weigh?","To find the weight of each box, we need to divide the total weight of the pallet by the number of boxes on the pallet.
The total weight of the pallet is 267 kilograms and there are 3 boxes.
267 / 3 = 89
This means each box weighs 89 kilograms.
The final answer is 89.",4,1. Single-step division with remainders for a one-digit divisor and a two- or three-digit dividend,"4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 × 12 and the corresponding division facts.","4.CE.2:
i) Apply strategies (e.g., rounding, compatible numbers, place value) and algorithms, including the standard algorithm, to estimate and determine the quotient of two whole numbers, given a one-digit divisor and a two- or three-digit dividend, with and without remainders.
j) Estimate, represent, solve, and justify solutions to single-step contextual problems involving division with whole numbers.
k) Interpret the quotient and remainder when solving a contextual problem."
"Edward had 763 baseball cards in 7 binders. If each binder has the same number of cards, how many cards are in each binder?","To find out how many cards are in each binder, we need to divide the total number of baseball cards Edward has by the number of binders.
Edward has 763 baseball cards and 7 binders.
763 / 7 = 109
This means each binder has 109 cards.
The final answer is 109.",4,1. Single-step division with remainders for a one-digit divisor and a two- or three-digit dividend,"4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 × 12 and the corresponding division facts.","4.CE.2:
i) Apply strategies (e.g., rounding, compatible numbers, place value) and algorithms, including the standard algorithm, to estimate and determine the quotient of two whole numbers, given a one-digit divisor and a two- or three-digit dividend, with and without remainders.
j) Estimate, represent, solve, and justify solutions to single-step contextual problems involving division with whole numbers.
k) Interpret the quotient and remainder when solving a contextual problem."
"Debby had 873 quarters. If it costs 3 quarters for each coke from a coke machine, how many could she buy?","To find out how many cokes Debby can buy, we need to divide the number of quarters she has by the number of quarters it costs for each coke.
Debby has 873 quarters and each coke costs 3 quarters.
873 / 3 = 291
This means Debby can buy 291 cokes with the quarters she has.
The final answer is 291.",4,1. Single-step division with remainders for a one-digit divisor and a two- or three-digit dividend,"4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 × 12 and the corresponding division facts.","4.CE.2:
i) Apply strategies (e.g., rounding, compatible numbers, place value) and algorithms, including the standard algorithm, to estimate and determine the quotient of two whole numbers, given a one-digit divisor and a two- or three-digit dividend, with and without remainders.
j) Estimate, represent, solve, and justify solutions to single-step contextual problems involving division with whole numbers.
k) Interpret the quotient and remainder when solving a contextual problem."
"There are 270 seats in a movie theater. If the movie theater has 9 sections with the same number of seats in each section, how many seats are in each section?","To find the number of seats in each section, we need to divide the total number of seats in the movie theater by the number of sections.
The total number of seats is 270 and the number of sections is 9.
270 ÷ 9 = 30
This means that each section has 30 seats.
The final answer is 30.",4,1. Single-step division with remainders for a one-digit divisor and a two- or three-digit dividend,"4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 × 12 and the corresponding division facts.","4.CE.2:
i) Apply strategies (e.g., rounding, compatible numbers, place value) and algorithms, including the standard algorithm, to estimate and determine the quotient of two whole numbers, given a one-digit divisor and a two- or three-digit dividend, with and without remainders.
j) Estimate, represent, solve, and justify solutions to single-step contextual problems involving division with whole numbers.
k) Interpret the quotient and remainder when solving a contextual problem."
"Zoe's school sold 620 dollars in raffle tickets. If each ticket cost 4 dollars, how many tickets did they sell?","To find the number of tickets sold, we need to divide the total amount of money made from selling the tickets ($620) by the cost of each ticket ($4). 
620 / 4 = 155
This means they sold 155 tickets.
The final answer is 155.",4,1. Single-step division with remainders for a one-digit divisor and a two- or three-digit dividend,"4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 × 12 and the corresponding division facts.","4.CE.2:
i) Apply strategies (e.g., rounding, compatible numbers, place value) and algorithms, including the standard algorithm, to estimate and determine the quotient of two whole numbers, given a one-digit divisor and a two- or three-digit dividend, with and without remainders.
j) Estimate, represent, solve, and justify solutions to single-step contextual problems involving division with whole numbers.
k) Interpret the quotient and remainder when solving a contextual problem."
"Edward's dad bought 459 centimeters of string. If he cut the string into 9 equal pieces, what would be the length of each piece?","Edward's dad bought 459 centimeters of string and he wants to cut it into 9 equal pieces. 
To find the length of each piece, we need to divide the total length of the string (459 centimeters) by the number of pieces (9). 
459 ÷ 9 = 51
This means each piece will be 51 centimeters long. 
The final answer is 51.",4,1. Single-step division with remainders for a one-digit divisor and a two- or three-digit dividend,"4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 × 12 and the corresponding division facts.","4.CE.2:
i) Apply strategies (e.g., rounding, compatible numbers, place value) and algorithms, including the standard algorithm, to estimate and determine the quotient of two whole numbers, given a one-digit divisor and a two- or three-digit dividend, with and without remainders.
j) Estimate, represent, solve, and justify solutions to single-step contextual problems involving division with whole numbers.
k) Interpret the quotient and remainder when solving a contextual problem."
Frank was reading through his favorite book. The book had 672 pages and it took Frank 2 days to finish the book. How many pages did he read per day?,"To find the number of pages Frank read per day, we need to divide the total number of pages in the book by the number of days it took him to finish the book.
The book had 672 pages and it took Frank 2 days to finish the book.
672 / 2 = 336
This means Frank read 336 pages per day.
The final answer is 336.",4,1. Single-step division with remainders for a one-digit divisor and a two- or three-digit dividend,"4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 × 12 and the corresponding division facts.","4.CE.2:
i) Apply strategies (e.g., rounding, compatible numbers, place value) and algorithms, including the standard algorithm, to estimate and determine the quotient of two whole numbers, given a one-digit divisor and a two- or three-digit dividend, with and without remainders.
j) Estimate, represent, solve, and justify solutions to single-step contextual problems involving division with whole numbers.
k) Interpret the quotient and remainder when solving a contextual problem."
"There are 396 students going to a trivia competition. If each school van can hold 9 students, how many vans will they need?","To find out how many vans are needed, we first need to divide the total number of students going to the competition (396) by the number of students each van can hold (9). 
396 ÷ 9 = 44
This means that 44 vans can be completely filled with students. 
Since 396 divided by 9 equals 44 with no remainder, we don't have to worry about any leftover students.
So, the total number of vans needed to hold all the students is 44.
The final answer is 44.",4,1. Single-step division with remainders for a one-digit divisor and a two- or three-digit dividend,"4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 × 12 and the corresponding division facts.","4.CE.2:
i) Apply strategies (e.g., rounding, compatible numbers, place value) and algorithms, including the standard algorithm, to estimate and determine the quotient of two whole numbers, given a one-digit divisor and a two- or three-digit dividend, with and without remainders.
j) Estimate, represent, solve, and justify solutions to single-step contextual problems involving division with whole numbers.
k) Interpret the quotient and remainder when solving a contextual problem."
"An architect was building a hotel downtown. He bought 147 lamps to put in the rooms. If each room gets 7 lamps, how many rooms does the hotel have?","To find the number of rooms in the hotel, we need to divide the total number of lamps (147) by the number of lamps per room (7).
147 ÷ 7 = 21
This means the hotel has 21 rooms.
The final answer is 21.",4,1. Single-step division with remainders for a one-digit divisor and a two- or three-digit dividend,"4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 × 12 and the corresponding division facts.","4.CE.2:
i) Apply strategies (e.g., rounding, compatible numbers, place value) and algorithms, including the standard algorithm, to estimate and determine the quotient of two whole numbers, given a one-digit divisor and a two- or three-digit dividend, with and without remainders.
j) Estimate, represent, solve, and justify solutions to single-step contextual problems involving division with whole numbers.
k) Interpret the quotient and remainder when solving a contextual problem."
"Amy had 180 video games. If she placed the games into 9 different stacks, how many games would be in each stack?","To find out how many games would be in each stack, we need to divide the total number of games Amy had (180) by the number of stacks she placed them into (9). 
180 / 9 = 20
This means each stack would have 20 games in it.
The final answer is 20.",4,1. Single-step division with remainders for a one-digit divisor and a two- or three-digit dividend,"4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 × 12 and the corresponding division facts.","4.CE.2:
i) Apply strategies (e.g., rounding, compatible numbers, place value) and algorithms, including the standard algorithm, to estimate and determine the quotient of two whole numbers, given a one-digit divisor and a two- or three-digit dividend, with and without remainders.
j) Estimate, represent, solve, and justify solutions to single-step contextual problems involving division with whole numbers.
k) Interpret the quotient and remainder when solving a contextual problem."
"There are 336 students in a school. If the school has 7 grades and each grade had the same number of students, how many students were in each grade?","To find the number of students in each grade, we need to divide the total number of students (336) by the number of grades (7). 
336 / 7 = 48
This means that each grade has 48 students. 
The final answer is 48.",4,1. Single-step division with remainders for a one-digit divisor and a two- or three-digit dividend,"4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 × 12 and the corresponding division facts.","4.CE.2:
i) Apply strategies (e.g., rounding, compatible numbers, place value) and algorithms, including the standard algorithm, to estimate and determine the quotient of two whole numbers, given a one-digit divisor and a two- or three-digit dividend, with and without remainders.
j) Estimate, represent, solve, and justify solutions to single-step contextual problems involving division with whole numbers.
k) Interpret the quotient and remainder when solving a contextual problem."
"The ring toss game at the carnival made 420 dollars in 3 days. If they made the same amount of money each day, how much did they make per day?","To find out how much money the ring toss game made per day, we need to divide the total amount of money they made ($420) by the number of days (3).
420 / 3 = 140
This means they made $140 per day.
The final answer is 140.",4,1. Single-step division with remainders for a one-digit divisor and a two- or three-digit dividend,"4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 × 12 and the corresponding division facts.","4.CE.2:
i) Apply strategies (e.g., rounding, compatible numbers, place value) and algorithms, including the standard algorithm, to estimate and determine the quotient of two whole numbers, given a one-digit divisor and a two- or three-digit dividend, with and without remainders.
j) Estimate, represent, solve, and justify solutions to single-step contextual problems involving division with whole numbers.
k) Interpret the quotient and remainder when solving a contextual problem."
"An ice machine had 294 ice cubes in it. If you were filling up 7 ice chests and each chest got the same number of cubes, how many ice cubes would each chest get?","To find out how many ice cubes each chest would get, we need to divide the total number of ice cubes by the number of chests.
We have 294 ice cubes and 7 chests.
294 ÷ 7 = 42
This means each chest would get 42 ice cubes.
The final answer is 42.",4,1. Single-step division with remainders for a one-digit divisor and a two- or three-digit dividend,"4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 × 12 and the corresponding division facts.","4.CE.2:
i) Apply strategies (e.g., rounding, compatible numbers, place value) and algorithms, including the standard algorithm, to estimate and determine the quotient of two whole numbers, given a one-digit divisor and a two- or three-digit dividend, with and without remainders.
j) Estimate, represent, solve, and justify solutions to single-step contextual problems involving division with whole numbers.
k) Interpret the quotient and remainder when solving a contextual problem."
"Amy uploaded 180 pics to Facebook. If she put the pics into 9 albums with the same number of photos in each album, how many photos were in each album?","To find out how many photos were in each album, we first need to divide the total number of photos Amy uploaded (180) by the number of albums (9).
180 / 9 = 20
This means that each album will have 20 photos.
The final answer is 20.",4,1. Single-step division with remainders for a one-digit divisor and a two- or three-digit dividend,"4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 × 12 and the corresponding division facts.","4.CE.2:
i) Apply strategies (e.g., rounding, compatible numbers, place value) and algorithms, including the standard algorithm, to estimate and determine the quotient of two whole numbers, given a one-digit divisor and a two- or three-digit dividend, with and without remainders.
j) Estimate, represent, solve, and justify solutions to single-step contextual problems involving division with whole numbers.
k) Interpret the quotient and remainder when solving a contextual problem."
