question,solution,math_topic,grade,standard,substandard
"A baker is putting cupcakes on trays to cool. She put 3 cupcakes on the first tray, 6 cupcakes on the second tray, 12 cupcakes on the third tray, and 24 cupcakes on the fourth tray. If this pattern continues, how many cupcakes will the baker put on the fifth tray?","The baker put 3 cupcakes on the first tray, 6 cupcakes on the second tray, 12 cupcakes on the third tray, and 24 cupcakes on the fourth tray. 
To find how many cupcakes the baker will put on the fifth tray, we need to look for a pattern in the number of cupcakes on each tray. 
The pattern is obtained by multiplying the previous number of cupcakes by 2. 
So, the first tray had 3 cupcakes, the second tray had 3 x 2 = 6 cupcakes, the third tray had 6 x 2 = 12 cupcakes, and the fourth tray had 12 x 2 = 24 cupcakes. 
Using the same pattern, we can find the number of cupcakes on the fifth tray by multiplying the number of cupcakes on the fourth tray (24) by 2. 
24 x 2 = 48. 
The final answer is 48.","1. Identifying, describing, and/or extending increasing and decreasing patterns with single-operation input and output rules (limited to addition, subtraction, multiplication, and division of whole numbers; addition and subtraction of fractions with like denominators of 12 or less; and addition and subtraction of decimals expressed in tenths or hundredths)",5,"5.PFA.1 The student will identify, describe, extend, and create increasing and decreasing patterns with whole numbers, fractions, and decimals, including those in context, using various representations.","5.PFA.1:
c) Solve contextual problems that involve identifying, describing, and extending increasing and decreasing patterns using single-operation input and output rules (limited to addition, subtraction, multiplication, and division of whole numbers; addition and subtraction of fractions with like denominators of 12 or less; and addition and subtraction of decimals expressed in tenths or hundredths)."
"On a modern art painting, there are 3 green dots in the first row, 6 green dots in the second row, 9 green dots in the third row, and 12 green dots in the fourth row. If this pattern continues, how many green dots will there be in the fifth row?","To find the number of green dots in the fifth row, we first need to identify the pattern in the number of green dots in each row.
The first row has 3 green dots, the second row has 6 green dots, the third row has 9 green dots, and the fourth row has 12 green dots.
We can see that each row has 3 more green dots than the previous row.
To find the number of green dots in the fifth row, we need to add 3 to the number of green dots in the fourth row.
The fourth row has 12 green dots, so the fifth row will have 12 + 3 = 15 green dots.
The final answer is 15.","1. Identifying, describing, and/or extending increasing and decreasing patterns with single-operation input and output rules (limited to addition, subtraction, multiplication, and division of whole numbers; addition and subtraction of fractions with like denominators of 12 or less; and addition and subtraction of decimals expressed in tenths or hundredths)",5,"5.PFA.1 The student will identify, describe, extend, and create increasing and decreasing patterns with whole numbers, fractions, and decimals, including those in context, using various representations.","5.PFA.1:
c) Solve contextual problems that involve identifying, describing, and extending increasing and decreasing patterns using single-operation input and output rules (limited to addition, subtraction, multiplication, and division of whole numbers; addition and subtraction of fractions with like denominators of 12 or less; and addition and subtraction of decimals expressed in tenths or hundredths)."
"Steve is stacking cups; he put 17 plastic cups in the first stack, 21 plastic cups in the second stack, 25 plastic cups in the third stack, and 29 plastic cups in the fourth stack. If this pattern continues, how many plastic cups will Steve put in the fifth stack?","Steve put 17 plastic cups in the first stack, 21 plastic cups in the second stack, 25 plastic cups in the third stack, and 29 plastic cups in the fourth stack.
To find how many plastic cups Steve will put in the fifth stack, we need to identify the pattern of the sequence.
The difference between the first and second stack is 21 - 17 = 4.
The difference between the second and third stack is 25 - 21 = 4.
The difference between the third and fourth stack is 29 - 25 = 4.
Since the pattern of the sequence is adding 4, to find the number of cups in the fifth stack, we add 4 to the number of cups in the fourth stack.
29 + 4 = 33.
The final answer is 33.","1. Identifying, describing, and/or extending increasing and decreasing patterns with single-operation input and output rules (limited to addition, subtraction, multiplication, and division of whole numbers; addition and subtraction of fractions with like denominators of 12 or less; and addition and subtraction of decimals expressed in tenths or hundredths)",5,"5.PFA.1 The student will identify, describe, extend, and create increasing and decreasing patterns with whole numbers, fractions, and decimals, including those in context, using various representations.","5.PFA.1:
c) Solve contextual problems that involve identifying, describing, and extending increasing and decreasing patterns using single-operation input and output rules (limited to addition, subtraction, multiplication, and division of whole numbers; addition and subtraction of fractions with like denominators of 12 or less; and addition and subtraction of decimals expressed in tenths or hundredths)."
"A new cookbook is becoming popular. The local bookstore ordered 4 copies in September, 6 copies in October, 8 copies in November, and 10 copies in December. If this pattern continues, how many copies will the bookstore order in January?","The bookstore ordered 4 copies in September, 6 copies in October, 8 copies in November, and 10 copies in December. 
To find how many copies they will order in January, we need to look for a pattern in the number of copies they ordered each month. 
The pattern is an increase of 2 copies each month: 4 + 2 = 6, 6 + 2 = 8, 8 + 2 = 10. 
If this pattern continues, we add 2 to the number of copies ordered in December to find the number of copies ordered in January. 
10 + 2 = 12. 
The final answer is 12.","1. Identifying, describing, and/or extending increasing and decreasing patterns with single-operation input and output rules (limited to addition, subtraction, multiplication, and division of whole numbers; addition and subtraction of fractions with like denominators of 12 or less; and addition and subtraction of decimals expressed in tenths or hundredths)",5,"5.PFA.1 The student will identify, describe, extend, and create increasing and decreasing patterns with whole numbers, fractions, and decimals, including those in context, using various representations.","5.PFA.1:
c) Solve contextual problems that involve identifying, describing, and extending increasing and decreasing patterns using single-operation input and output rules (limited to addition, subtraction, multiplication, and division of whole numbers; addition and subtraction of fractions with like denominators of 12 or less; and addition and subtraction of decimals expressed in tenths or hundredths)."
"Farmer Singleton has a plot of tomato plants. There are 4 tomato plants in the first row, 8 tomato plants in the second row, 16 tomato plants in the third row, 32 tomato plants in the fourth row, and 64 tomato plants in the fifth row. If this pattern continues, how many tomato plants will there be in the sixth row?","To find out how many tomato plants will be in the sixth row, we first need to look at the pattern of the number of tomato plants in each row. 
The first row has 4 tomato plants, the second row has 8 tomato plants, the third row has 16 tomato plants, the fourth row has 32 tomato plants, and the fifth row has 64 tomato plants. 
We can see that the number of tomato plants in each row is doubling. 
So, to find the number of tomato plants in the sixth row, we need to double the number of tomato plants in the fifth row. 
The fifth row has 64 tomato plants. 
64 x 2 = 128
This means the sixth row will have 128 tomato plants. 
The final answer is 128.","1. Identifying, describing, and/or extending increasing and decreasing patterns with single-operation input and output rules (limited to addition, subtraction, multiplication, and division of whole numbers; addition and subtraction of fractions with like denominators of 12 or less; and addition and subtraction of decimals expressed in tenths or hundredths)",5,"5.PFA.1 The student will identify, describe, extend, and create increasing and decreasing patterns with whole numbers, fractions, and decimals, including those in context, using various representations.","5.PFA.1:
c) Solve contextual problems that involve identifying, describing, and extending increasing and decreasing patterns using single-operation input and output rules (limited to addition, subtraction, multiplication, and division of whole numbers; addition and subtraction of fractions with like denominators of 12 or less; and addition and subtraction of decimals expressed in tenths or hundredths)."
"Sweet Time Bakery just opened and is increasing the number of items they bake. For example, the bakery made 19 carrot cakes in October, 21 carrot cakes in November, 23 carrot cakes in December, and 25 carrot cakes in January. If this pattern continues, how many carrot cakes will the bakery make in February?","The bakery made 19 carrot cakes in October, 21 carrot cakes in November, 23 carrot cakes in December, and 25 carrot cakes in January. 
To find how many carrot cakes the bakery will make in February, we need to look at the pattern of the number of carrot cakes they made each month. 
In October, they made 19 carrot cakes. 
In November, they made 21 carrot cakes, which is 2 more than in October. 
In December, they made 23 carrot cakes, which is 2 more than in November. 
In January, they made 25 carrot cakes, which is 2 more than in December. 
This means the pattern is to add 2 to the number of carrot cakes each month. 
To find how many carrot cakes they will make in February, we need to add 2 to the number they made in January. 
25 + 2 = 27. 
The final answer is 27.","1. Identifying, describing, and/or extending increasing and decreasing patterns with single-operation input and output rules (limited to addition, subtraction, multiplication, and division of whole numbers; addition and subtraction of fractions with like denominators of 12 or less; and addition and subtraction of decimals expressed in tenths or hundredths)",5,"5.PFA.1 The student will identify, describe, extend, and create increasing and decreasing patterns with whole numbers, fractions, and decimals, including those in context, using various representations.","5.PFA.1:
c) Solve contextual problems that involve identifying, describing, and extending increasing and decreasing patterns using single-operation input and output rules (limited to addition, subtraction, multiplication, and division of whole numbers; addition and subtraction of fractions with like denominators of 12 or less; and addition and subtraction of decimals expressed in tenths or hundredths)."
"Andrew found some empty bins to put cans into for recycling. He put 2 empty cans in the first bin, 4 empty cans in the second bin, 7 empty cans in the third bin, 11 empty cans in the fourth bin, and 16 empty cans in the fifth bin. If this pattern continues, how many empty cans will Andrew put in the sixth bin?","To find out how many empty cans Andrew will put in the sixth bin, we first need to look at the pattern of the number of cans he put in each bin.
The pattern is 2, 4, 7, 11, 16.
We can see that each number increases by a certain amount: 
4 - 2 = 2
7 - 4 = 3
11 - 7 = 4
16 - 11 = 5
The pattern of the increase is +2, +3, +4, +5, and it seems like the increase is going up by 1 each time.
If this pattern continues, the next increase should be +6.
So, to find the number of cans Andrew will put in the sixth bin, we need to add 6 to the number of cans in the fifth bin (16).
16 + 6 = 22
The final answer is 22.","1. Identifying, describing, and/or extending increasing and decreasing patterns with single-operation input and output rules (limited to addition, subtraction, multiplication, and division of whole numbers; addition and subtraction of fractions with like denominators of 12 or less; and addition and subtraction of decimals expressed in tenths or hundredths)",5,"5.PFA.1 The student will identify, describe, extend, and create increasing and decreasing patterns with whole numbers, fractions, and decimals, including those in context, using various representations.","5.PFA.1:
c) Solve contextual problems that involve identifying, describing, and extending increasing and decreasing patterns using single-operation input and output rules (limited to addition, subtraction, multiplication, and division of whole numbers; addition and subtraction of fractions with like denominators of 12 or less; and addition and subtraction of decimals expressed in tenths or hundredths)."
"Tess is writing a poem. She writes 23 words on the first line, 26 words on the second line, 29 words on the third line, 32 words on the fourth line, and 35 words on the fifth line. If this pattern continues, how many words will Tess write on the sixth line?","To find out how many words Tess will write on the sixth line, we need to look at the pattern of the number of words she writes on each line. 
On the first line, she wrote 23 words. 
On the second line, she wrote 26 words, which is 3 more than the first line. 
On the third line, she wrote 29 words, which is 3 more than the second line. 
On the fourth line, she wrote 32 words, which is 3 more than the third line. 
On the fifth line, she wrote 35 words, which is 3 more than the fourth line. 
We can see that the pattern is to add 3 words to the number of words on the previous line. 
To find the number of words on the sixth line, we need to add 3 to the number of words on the fifth line. 
35 + 3 = 38. 
The final answer is 38.","1. Identifying, describing, and/or extending increasing and decreasing patterns with single-operation input and output rules (limited to addition, subtraction, multiplication, and division of whole numbers; addition and subtraction of fractions with like denominators of 12 or less; and addition and subtraction of decimals expressed in tenths or hundredths)",5,"5.PFA.1 The student will identify, describe, extend, and create increasing and decreasing patterns with whole numbers, fractions, and decimals, including those in context, using various representations.","5.PFA.1:
c) Solve contextual problems that involve identifying, describing, and extending increasing and decreasing patterns using single-operation input and output rules (limited to addition, subtraction, multiplication, and division of whole numbers; addition and subtraction of fractions with like denominators of 12 or less; and addition and subtraction of decimals expressed in tenths or hundredths)."
"Carmen did 4 sit-ups on Sunday, 8 sit-ups on Monday, 16 sit-ups on Tuesday, 32 sit-ups on Wednesday, and 64 sit-ups on Thursday. If this pattern continues, how many sit-ups will Carmen do on Friday?","To find how many sit-ups Carmen will do on Friday, we first need to look at the pattern of the number of sit-ups she did each day. 
On Sunday, she did 4 sit-ups. 
On Monday, she did 8 sit-ups, which is 2 times the number she did on Sunday. 
On Tuesday, she did 16 sit-ups, which is 2 times the number she did on Monday. 
On Wednesday, she did 32 sit-ups, which is 2 times the number she did on Tuesday. 
On Thursday, she did 64 sit-ups, which is 2 times the number she did on Wednesday. 
We can see that each day she does 2 times the number of sit-ups she did the day before. 
To find how many sit-ups she will do on Friday, we need to multiply the number of sit-ups she did on Thursday (64) by 2. 
64 x 2 = 128. 
The final answer is 128.","1. Identifying, describing, and/or extending increasing and decreasing patterns with single-operation input and output rules (limited to addition, subtraction, multiplication, and division of whole numbers; addition and subtraction of fractions with like denominators of 12 or less; and addition and subtraction of decimals expressed in tenths or hundredths)",5,"5.PFA.1 The student will identify, describe, extend, and create increasing and decreasing patterns with whole numbers, fractions, and decimals, including those in context, using various representations.","5.PFA.1:
c) Solve contextual problems that involve identifying, describing, and extending increasing and decreasing patterns using single-operation input and output rules (limited to addition, subtraction, multiplication, and division of whole numbers; addition and subtraction of fractions with like denominators of 12 or less; and addition and subtraction of decimals expressed in tenths or hundredths)."
"Ava bagged the plastic bottles after a recycling drive. She placed 45 bottles in the first bag, 53 bottles in the second bag, 61 bottles in the third bag, and 69 bottles in the fourth bag. If this pattern continues, how many plastic bottles will Ava put in the fifth bag?","To find out how many plastic bottles Ava will put in the fifth bag, we need to look at the pattern of the number of bottles she put in each bag. 
The first bag has 45 bottles, the second bag has 53 bottles, the third bag has 61 bottles, and the fourth bag has 69 bottles. 
Let's look at the differences between each bag: 
53 - 45 = 8 
61 - 53 = 8 
69 - 61 = 8 
We can see that each bag has 8 more bottles than the previous bag. 
Since the pattern continues, the fifth bag will have 8 more bottles than the fourth bag. 
The fourth bag has 69 bottles, so the fifth bag will have 69 + 8 = 77 bottles. 
The final answer is 77.","1. Identifying, describing, and/or extending increasing and decreasing patterns with single-operation input and output rules (limited to addition, subtraction, multiplication, and division of whole numbers; addition and subtraction of fractions with like denominators of 12 or less; and addition and subtraction of decimals expressed in tenths or hundredths)",5,"5.PFA.1 The student will identify, describe, extend, and create increasing and decreasing patterns with whole numbers, fractions, and decimals, including those in context, using various representations.","5.PFA.1:
c) Solve contextual problems that involve identifying, describing, and extending increasing and decreasing patterns using single-operation input and output rules (limited to addition, subtraction, multiplication, and division of whole numbers; addition and subtraction of fractions with like denominators of 12 or less; and addition and subtraction of decimals expressed in tenths or hundredths)."
"While organizing his DVD collection, Seth put 2 DVDs on the first rack, 4 DVDs on the second rack, 8 DVDs on the third rack, 16 DVDs on the fourth rack, and 32 DVDs on the fifth rack. If this pattern continues, how many DVDs will Seth put on the sixth rack?","To find the number of DVDs Seth will put on the sixth rack, we need to identify the pattern in the number of DVDs on each rack. 
The pattern is obtained by doubling the number of DVDs on the previous rack: 
- The first rack has 2 DVDs.
- The second rack has 2 x 2 = 4 DVDs.
- The third rack has 4 x 2 = 8 DVDs.
- The fourth rack has 8 x 2 = 16 DVDs.
- The fifth rack has 16 x 2 = 32 DVDs.
Following this pattern, the number of DVDs on the sixth rack will be 32 x 2 = 64 DVDs.
The final answer is 64.","1. Identifying, describing, and/or extending increasing and decreasing patterns with single-operation input and output rules (limited to addition, subtraction, multiplication, and division of whole numbers; addition and subtraction of fractions with like denominators of 12 or less; and addition and subtraction of decimals expressed in tenths or hundredths)",5,"5.PFA.1 The student will identify, describe, extend, and create increasing and decreasing patterns with whole numbers, fractions, and decimals, including those in context, using various representations.","5.PFA.1:
c) Solve contextual problems that involve identifying, describing, and extending increasing and decreasing patterns using single-operation input and output rules (limited to addition, subtraction, multiplication, and division of whole numbers; addition and subtraction of fractions with like denominators of 12 or less; and addition and subtraction of decimals expressed in tenths or hundredths)."
"While sorting some buttons, Malia put 1 button in the first box, 3 buttons in the second box, 9 buttons in the third box, 27 buttons in the fourth box, and 81 buttons in the fifth box. If this pattern continues, how many buttons will Malia put in the sixth box?","To find the number of buttons Malia will put in the sixth box, we need to understand the pattern of how she is sorting the buttons.
The pattern starts with 1 button in the first box, then 3 buttons in the second box, 9 buttons in the third box, 27 buttons in the fourth box, and 81 buttons in the fifth box.
Looking at the pattern, we can see that each number is obtained by multiplying the previous number by 3.
1 x 3 = 3
3 x 3 = 9
9 x 3 = 27
27 x 3 = 81
To find the number of buttons in the sixth box, we multiply the number of buttons in the fifth box (81) by 3.
81 x 3 = 243
The final answer is 243.","1. Identifying, describing, and/or extending increasing and decreasing patterns with single-operation input and output rules (limited to addition, subtraction, multiplication, and division of whole numbers; addition and subtraction of fractions with like denominators of 12 or less; and addition and subtraction of decimals expressed in tenths or hundredths)",5,"5.PFA.1 The student will identify, describe, extend, and create increasing and decreasing patterns with whole numbers, fractions, and decimals, including those in context, using various representations.","5.PFA.1:
c) Solve contextual problems that involve identifying, describing, and extending increasing and decreasing patterns using single-operation input and output rules (limited to addition, subtraction, multiplication, and division of whole numbers; addition and subtraction of fractions with like denominators of 12 or less; and addition and subtraction of decimals expressed in tenths or hundredths)."
"While sorting some change into piggy banks, Diane put 72 coins in the first piggy bank, 81 coins in the second piggy bank, 90 coins in the third piggy bank, 99 coins in the fourth piggy bank, and 108 coins in the fifth piggy bank. If this pattern continues, how many coins will Diane put in the sixth piggy bank?","To find out how many coins Diane will put in the sixth piggy bank, we need to first look at the pattern of the number of coins she put in each piggy bank.
The pattern is: 72, 81, 90, 99, 108.
Let's look at the differences between each number: 
81 - 72 = 9
90 - 81 = 9
99 - 90 = 9
108 - 99 = 9
We can see that each time, the number of coins increases by 9.
To find the number of coins Diane will put in the sixth piggy bank, we need to add 9 to the number of coins in the fifth piggy bank.
108 + 9 = 117
The final answer is 117.","1. Single-step and multistep addition, subtraction, multiplication, and/or division with whole numbers where:
   i) sums, differences, and products do not exceed five digits;
   ii) factors do not exceed two digits by three digits;
   iii) divisors do not exceed two digits; or
   iv) dividends do not exceed four digits
2. Division with remainders",5,"5.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep contextual problems using addition, subtraction, multiplication, and division with whole numbers.","5.CE.1:
b) Represent, solve, and justify solutions to single-step and multistep contextual problems by applying strategies (e.g., estimation, properties of addition and multiplication) and algorithms, including the standard algorithm, involving addition, subtraction, multiplication, and division of whole numbers, with and without remainders, in which:
   i) sums, differences, and products do not exceed five digits;
   ii) factors do not exceed two digits by three digits;
   iii) divisors do not exceed two digits; or
   iv) dividends do not exceed four digits.
c) Interpret the quotient and remainder when solving a contextual problem."
"Mrs. Hilt traveled 6, 760 miles to Japan. She read one book every 450 miles she traveled. How many books had she finished when she got to Japan?","To find out how many books Mrs. Hilt finished when she got to Japan, we need to divide the total number of miles she traveled (6,760) by the number of miles she traveled per book (450).
6,760 / 450 = 15.022
Since Mrs. Hilt can't finish a fraction of a book, we will round down to the nearest whole number, which is 15.
The final answer is 15.","1. Single-step and multistep addition, subtraction, multiplication, and/or division with whole numbers where:
   i) sums, differences, and products do not exceed five digits;
   ii) factors do not exceed two digits by three digits;
   iii) divisors do not exceed two digits; or
   iv) dividends do not exceed four digits
2. Division with remainders",5,"5.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep contextual problems using addition, subtraction, multiplication, and division with whole numbers.","5.CE.1:
b) Represent, solve, and justify solutions to single-step and multistep contextual problems by applying strategies (e.g., estimation, properties of addition and multiplication) and algorithms, including the standard algorithm, involving addition, subtraction, multiplication, and division of whole numbers, with and without remainders, in which:
   i) sums, differences, and products do not exceed five digits;
   ii) factors do not exceed two digits by three digits;
   iii) divisors do not exceed two digits; or
   iv) dividends do not exceed four digits.
c) Interpret the quotient and remainder when solving a contextual problem."
"A transport company bought 95 tons of oil. A large barrel can hold 6 tons of oil and a small barrel can hold 5 tons of oil. In order to use the least number of barrels and have every barrel fully occupied, how many large barrels should be used?","To solve this problem, we need to figure out how many large barrels and small barrels are needed to hold 95 tons of oil, using the least number of barrels and having every barrel fully occupied.
We should first try to use as many large barrels as possible, since they hold more oil.
If we use x large barrels, we will have 6x tons of oil in the large barrels.
Since we want to use the least number of barrels, we want to maximize the number of large barrels.
Let's divide the total tons of oil (95) by the tons of oil a large barrel can hold (6) to see the maximum number of large barrels we can use.
95 / 6 = 15.83
This means we can fill 15 large barrels completely, since we can't fill a fraction of a barrel.
15 x 6 = 90
This means 15 large barrels will hold 90 tons of oil.
We still have 95 - 90 = 5 tons of oil left to store.
Since we have 5 tons left, which is exactly the amount a small barrel can hold, we can use 1 small barrel to hold the remaining oil.
However, the question asks how many large barrels should be used, not small barrels.
So, the number of large barrels we should use is 15.
The final answer is 15.","1. Single-step and multistep addition, subtraction, multiplication, and/or division with whole numbers where:
   i) sums, differences, and products do not exceed five digits;
   ii) factors do not exceed two digits by three digits;
   iii) divisors do not exceed two digits; or
   iv) dividends do not exceed four digits
2. Division with remainders",5,"5.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep contextual problems using addition, subtraction, multiplication, and division with whole numbers.","5.CE.1:
b) Represent, solve, and justify solutions to single-step and multistep contextual problems by applying strategies (e.g., estimation, properties of addition and multiplication) and algorithms, including the standard algorithm, involving addition, subtraction, multiplication, and division of whole numbers, with and without remainders, in which:
   i) sums, differences, and products do not exceed five digits;
   ii) factors do not exceed two digits by three digits;
   iii) divisors do not exceed two digits; or
   iv) dividends do not exceed four digits.
c) Interpret the quotient and remainder when solving a contextual problem."
"A worker needs to cut a 27-yard long rope into some long pieces at 4 yard each and some short pieces at 1 yard each. In order to make the least number of pieces, how many long pieces should be cut for?","To solve this problem, we first need to figure out how many long pieces and short pieces we can cut from the rope.
We want to cut as many long pieces as possible because that will result in the least number of pieces.
Each long piece is 4 yards, so we need to divide the total length of the rope (27 yards) by the length of each long piece (4 yards).
27 / 4 = 6 with a remainder of 3.
This means we can cut 6 long pieces that are 4 yards each, with 3 yards of rope left over.
Since we want to cut the least number of pieces, we should cut the remaining 3 yards into short pieces.
Each short piece is 1 yard, so we need to divide the remaining length of the rope (3 yards) by the length of each short piece (1 yard).
3 / 1 = 3.
This means we will cut 3 short pieces.
However, the problem is asking for the number of long pieces to be cut, not the short pieces.
We already determined we can cut 6 long pieces.
The final answer is 6.","1. Single-step and multistep addition, subtraction, multiplication, and/or division with whole numbers where:
   i) sums, differences, and products do not exceed five digits;
   ii) factors do not exceed two digits by three digits;
   iii) divisors do not exceed two digits; or
   iv) dividends do not exceed four digits
2. Division with remainders",5,"5.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep contextual problems using addition, subtraction, multiplication, and division with whole numbers.","5.CE.1:
b) Represent, solve, and justify solutions to single-step and multistep contextual problems by applying strategies (e.g., estimation, properties of addition and multiplication) and algorithms, including the standard algorithm, involving addition, subtraction, multiplication, and division of whole numbers, with and without remainders, in which:
   i) sums, differences, and products do not exceed five digits;
   ii) factors do not exceed two digits by three digits;
   iii) divisors do not exceed two digits; or
   iv) dividends do not exceed four digits.
c) Interpret the quotient and remainder when solving a contextual problem."
172 students are forming teams for a mountaineering competition. Each team should have 18 students. How many teams can they form?,"To find out how many teams the students can form, we need to divide the total number of students (172) by the number of students each team should have (18).
172 / 18 = 9.55
Since we cannot have a fraction of a team, we need to find the whole number of teams that can be formed.
We take the whole number part of 9.55, which is 9.
This means that 9 full teams can be formed with 18 students on each team.
The final answer is 9.","1. Single-step and multistep addition, subtraction, multiplication, and/or division with whole numbers where:
   i) sums, differences, and products do not exceed five digits;
   ii) factors do not exceed two digits by three digits;
   iii) divisors do not exceed two digits; or
   iv) dividends do not exceed four digits
2. Division with remainders",5,"5.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep contextual problems using addition, subtraction, multiplication, and division with whole numbers.","5.CE.1:
b) Represent, solve, and justify solutions to single-step and multistep contextual problems by applying strategies (e.g., estimation, properties of addition and multiplication) and algorithms, including the standard algorithm, involving addition, subtraction, multiplication, and division of whole numbers, with and without remainders, in which:
   i) sums, differences, and products do not exceed five digits;
   ii) factors do not exceed two digits by three digits;
   iii) divisors do not exceed two digits; or
   iv) dividends do not exceed four digits.
c) Interpret the quotient and remainder when solving a contextual problem."
"A tourist group has 26 people. At a hotel, they want to rent some large rooms for 3 people each and some small rooms for 2 each. In order to rent the least number of rooms and have every room fully occupied, how many large rooms should be rented?","To solve this problem, we first need to figure out how many people will be in the large rooms and how many will be in the small rooms.
Let's start with the large rooms. Since each large room holds 3 people, the number of people in the large rooms must be a multiple of 3.
We have 26 people in total. 
To find the number of large rooms that should be rented, we should first try to put as many people as possible into large rooms, since we want to rent the least number of rooms.
If we put 24 people into large rooms (since 24 is the closest multiple of 3 to 26 that doesn't go over), we have 24 / 3 = 8 large rooms.
This leaves us with 26 - 24 = 2 people for the small rooms.
Since each small room holds 2 people, we can put these 2 people into 1 small room.
So, to have every room fully occupied and rent the least number of rooms, we need 8 large rooms and 1 small room.
The final answer is 8.","1. Single-step and multistep addition, subtraction, multiplication, and/or division with whole numbers where:
   i) sums, differences, and products do not exceed five digits;
   ii) factors do not exceed two digits by three digits;
   iii) divisors do not exceed two digits; or
   iv) dividends do not exceed four digits
2. Division with remainders",5,"5.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep contextual problems using addition, subtraction, multiplication, and division with whole numbers.","5.CE.1:
b) Represent, solve, and justify solutions to single-step and multistep contextual problems by applying strategies (e.g., estimation, properties of addition and multiplication) and algorithms, including the standard algorithm, involving addition, subtraction, multiplication, and division of whole numbers, with and without remainders, in which:
   i) sums, differences, and products do not exceed five digits;
   ii) factors do not exceed two digits by three digits;
   iii) divisors do not exceed two digits; or
   iv) dividends do not exceed four digits.
c) Interpret the quotient and remainder when solving a contextual problem."
A company donates 935 pencils to a school. The pencils are divided evenly among 9 classrooms. The rest of the pencils are given to the library. How many pencils were donated to the library?,"To find out how many pencils were donated to the library, we first need to divide the total number of pencils (935) by the number of classrooms (9).
935 ÷ 9 = 103.89
Since we cannot divide pencils into fractions, this means each classroom can get 103 pencils.
To find out how many pencils were given to the classrooms in total, we multiply the number of pencils each classroom gets (103) by the number of classrooms (9).
103 x 9 = 927
Now, to find out how many pencils were donated to the library, we subtract the total number of pencils given to the classrooms (927) from the total number of pencils donated (935).
935 - 927 = 8
The final answer is 8.","1. Single-step and multistep addition, subtraction, multiplication, and/or division with whole numbers where:
   i) sums, differences, and products do not exceed five digits;
   ii) factors do not exceed two digits by three digits;
   iii) divisors do not exceed two digits; or
   iv) dividends do not exceed four digits
2. Division with remainders",5,"5.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep contextual problems using addition, subtraction, multiplication, and division with whole numbers.","5.CE.1:
b) Represent, solve, and justify solutions to single-step and multistep contextual problems by applying strategies (e.g., estimation, properties of addition and multiplication) and algorithms, including the standard algorithm, involving addition, subtraction, multiplication, and division of whole numbers, with and without remainders, in which:
   i) sums, differences, and products do not exceed five digits;
   ii) factors do not exceed two digits by three digits;
   iii) divisors do not exceed two digits; or
   iv) dividends do not exceed four digits.
c) Interpret the quotient and remainder when solving a contextual problem."
15 students split 122 portfolios of paintings. Each student should get the same number of portfolios. How many portfolios of paintings will be left?,"To find out how many portfolios of paintings will be left, we first need to divide the total number of portfolios (122) by the number of students (15).
122 / 15 = 8.13
This means each student can get 8 portfolios. 
To find out how many portfolios we will have left over, we need to multiply the number of portfolios for each student (8) by the number of students (15) and subtract the total from the 122 portfolios we started with.
15 x 8 = 120
122 - 120 = 2
This means we will have 2 portfolios left over after giving each student 8 portfolios.
The final answer is 2.","1. Single-step and multistep addition, subtraction, multiplication, and/or division with whole numbers where:
   i) sums, differences, and products do not exceed five digits;
   ii) factors do not exceed two digits by three digits;
   iii) divisors do not exceed two digits; or
   iv) dividends do not exceed four digits
2. Division with remainders",5,"5.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep contextual problems using addition, subtraction, multiplication, and division with whole numbers.","5.CE.1:
b) Represent, solve, and justify solutions to single-step and multistep contextual problems by applying strategies (e.g., estimation, properties of addition and multiplication) and algorithms, including the standard algorithm, involving addition, subtraction, multiplication, and division of whole numbers, with and without remainders, in which:
   i) sums, differences, and products do not exceed five digits;
   ii) factors do not exceed two digits by three digits;
   iii) divisors do not exceed two digits; or
   iv) dividends do not exceed four digits.
c) Interpret the quotient and remainder when solving a contextual problem."
